text,bonus_clustering
"Κάλλια αγριοξυλοκέρατα και μέσα κώλος, παρά ομαλίτικο τυρί και μέσα ο κώλος",0
"Άσκεφτος νους, διπλός κόπος",0
"Μαγάρι ως λες, κι' όχι ως θες",0
Όντε λείπη ο κάτης χορεύγουν οι μποντικοί,0
"Η ο γάδαρος ψοφά, ή το σομάρι σπά",0
Όποιος σωπαίνει τον θέφτουν,0
Ήχασα και τ' αυγά και τα καλάθια,0
Καλλιά 'χω σήμερο τ' αυγό παρά ταχυά την όρθα,0
Κάλλια 'ναι δυό κακοί πάρ' έναν αντρειωμένο,0
Άλλος έκαμε κι άλλος έπαθε,0
Του γύρισε τον κουνενό,0
Το διακονίκι είναι βασιλίκι,0
"Όποια θέλει να γεράση, αργαστήρι ν' αγοράση",0
"Ένας νους, κι' αυτός ρωμαίϊκος",0
Ο νάχας κι ο ναύρας ήσαν αδελφοί κι' ο κάμε νάχης άλλος,0
"Από το ρόδο βγαίνει αγκάθι, κι' από το αγκάθι βγαίνει ρόδο",0
"Πλιά τα έξοδα του γάμου, παρά τα προυκιά τση νύφης",0
"Ο Άγουστος επάτησε στην άκρα του χειμώνα, παψ' άρχοντα τον ύπνο σου και, συ ητινχε το γιόμα",0
"Του ζητιάνου τα μούτρα μαύρα, μα ο ντροβάς γεμάτος",0
Χαναναίος,0
"Απού' νε γέρος κουζουλός, απού τα νιότα τώχει",0
Ο γέρως κι' αν αντρέβγεται κ' το ρίζωμα κοντέβγεται,0
Στο γέρικο άλογο όλες οι μύγες μονο μυρίζουνε,0
Στου κλέφτη το σπήτι κλέφταις δεν πατούνε,0
"Μεγάλη μπουκιά να φάς, μα μεγάλο λόγο να μην πης",0
"Αργάτη κάνεις, αργά τονέ τρως",0
Πήνε να ξης προβιές να κάνης ταγάρια,0
Κράθειε γέρο νά'χης και παιδιά και βάσανα νά'χης,0
"Άρρωστέ μου, πιε νερό!",0
Ο κακός ο χρόνος περνά μα ο κακός γείτονας όχι,0
Σαν κάμη ο Μάρτης δυό νερά κι' Απρίλης άλλον ένα χαρά ς' το ζευγολαλητή πούχει ς' τη γη σπαρμένα,0
Ακριβός θαρρεί κερδαίνει και φυρά και δε το νοιώθει,0
Το γλήγορο αρνί τρώει τ' άλλου το γάλα,0
Κάτσετε να πιούμε και την άλλη,0
Δες ούγια πάρε πανί,0
Τσ' αποκριές και των Βαγιώ μπαίνει ο Γιούδας στο γιαλό,0
Ωσάν τσι σαραντάπηχους είναι μακράν η κερά μου,0
Από τη ζήσι τη κακή ο θάνατος καλλιά 'ναι,0
Να πλουτίζανε οι κλέφτες θε να πλουτίσουν κ' οι μποντικοί,0
Καθα είς τον πόρδαρό ντου μηλοκύδωνο τον έχει,0
Εφτά φορές να το δης με τα μάθια σου και πάλι να μην το πιστέψης,0
Ίντα δα ρίξ' ο ορανός να μη το δεχτή η γης;,0
Σε κακά σκαμνιά μ' έβαλες,0
"Στο ράφι που θα κάτσης, κούνιε και τα πόδια σου",0
Θέλ' η γρά και παίζ' ο γέρος,0
Κουζουλός φορεί τη σκούφια ντου,0
"Σαββάτο και Παρασκευή τα νύχια σου μην κόψης, την Κυριακή μη χτενιστής, α θέλης να προκόψης",0
"Όσα μαχαιράκια, τόσα κοκκαλάκια",0
Απόθανε να σ' αγαπώ και ζιε να μη σε θέλω,0
Απού 'χουν τα μαλλιά τα 'χασα κ' οι κουτρούλες τα λουστήκα,0
"Το Μάρτη ξύλα φύλαγε μην κάψης τα παλούκια, το Μάρτη ξυλοκέρατα μη χάσης τα κοπέλια",0
Απάντρευτος προξενητής για μπάντα ντου γυρεύει,0
Εμού κακόν χερόολον κ' εσού κακόν γδεμάτι,0
Τρεις τα γέννα τρεις τα Φώτα,0
"Του γνωστικού ανεχάραξε, του κουζουλού ξεδιάλυνε",0
"Απού θέλει να πηδήξη, πρέπει και να συντηρήξη",0
Δαυλός στον κώλο σου και σούβλα πυρωμένη!,0
Το βερεσέ κρασί δύο φορές μεθεί,0
"Σα δε θέλω να σε φιλήσω, όλο σάλια σε γεμίζω",0
Κριθάρι γερό θέριζε και στάρι παλληκάρι,0
Το ψηφί κι' ανέ ξεπέση πάλι την ψηφί την έχει,0
Του κόσμου το περίπαισμα τον κόσμο περιπαίζει,0
Τη μύγα βάνεις κολαούζι και που θες να σε πάη;,0
"Του 'παντρεμένου δος φιλί, τ' απάντρευτου μία πέτρα, την κεφαλή του να χτυπά, ώστε να βρη γυναίκα",0
Ο ζόρες βάνει το λαγό στην τρύπα,0
Η νύφη που 'στα γεννηθή τσή πεθεράς τση μοιάζει,0
"Απού δε βρή από γονιού, παραγωνιού καθίζει",0
Μην ξεγυμνώνεσαι πριν να πυρώσ' ο λουτρός,0
Εν η κατζή πεθθερά που λαλούσιν,0
Άθθρωπος του σσοινιού τζαι του παλλουτζιού,0
Που το στόμα του κοράκου είνταν ν' ακούσης άλλομ που κρα κρα,0
Αντάγ' γεράσ' ο δκιάολος γίνεται καλό(γ)ηρος,0
Ο παπάς τα ομπρός του εν εθώρεν τζιαι τα πίσω του ανηγέλουν,0
"Ο Μαας, εμ πεντοφάς τζαι εφταψούμης",0
Να δούμεν είντα του μαειρεύκουν οι σκούντροι του,0
"Το πουττίμ μ' εγιώ τ' ορίζω, τζ' όπου θέλω το δανείζω",0
"Το σιοινίν του χωρκάτη μονόν έννι φτάνει, διπλόν φτάνει τζι' αρτηρά",0
"Αθ θέλης να δης τογ κακόν άθθρωπον, δε τον στο μεθύσιν του",0
Ο πελλός εν τζαί θέλει κουδούνιν,0
Τον αγαπάς ξητίμαζε τζ'αι τον μισάς σ'αιρέτα,0
"Απ' αγάπουν τογ καλόμ μου, τζ' απού τον είχα έννοιαν, δέκα χρόνους τον αγάπουν, τζ' εν τον είδ' αν είσεγ γένεια",0
"Τομ Μάρτην ξύλα φύλαε, μεγ κάψης τα παλλούτζια",0
"Αμ μεν αρκήση στογ γιαλόν, εγ κάμν' η πέτρα ρίζες",0
Τζιεί που πήεν η κουνιά ας πα' τζιαι το μανίτζιν,0
"Μέν ακούς, τ' ακούς",0
Στες εννιά έμαθέν το τζι' ο κουφός,0
Η κατάρα σου γαούριν τζ' εγιώ που πάνω καωαλλούριν,0
Εβυζύνισά του έναμ πάτσον τ εστράψαν ταμμάδικά του λαμπρόν,0
Αρχοντικά πορεύκονται και σκύλλικα κοιμούνται,0
Τζαι του βασιλέα πίσω του λαλούμ πολλά λόγια,0
Παίζουν τους Μηλιώταις,0
Επετάχτην η παπουτσα σου,0
Εν τζ' εφ φαρράς του Γεράσιμου,0
Των βρενίμων τα παιδκιά πριν πεινασουν μαειρεύκουν,0
"Της γεναίκας σου μυστικόμ μέμ πης, αναγιωτόμ μεμ πιάσης τζαί φίλον ζαφτιέν μεγ κάμης",0
Γεια σου γέρω! Κουτσιά σπέρνω,0
"Απόσει νύσια κνήθεται, τζ' απόσει χτένια χτενίζεται",0
"Φωνάζει ο κλέφτης, να φοηθή ο νοικοτζύρης",0
"Ο Θεός σκάλες ανεβάζει, τζαί σκάλες κατεβάζει",0
"Είπεν ο γάδαρος στομ πετεινόν “ωρέ, τζεφαλήμ που την έσεις!”",0
Επαίρναν τομ μάντην να τογ κάμουν βασιλέα τζ' είδεν τους πεύκους τζ' είπεν αδέ πεύκους για γυλάρκα,0
"Έχω γιω λόγια για να πω, ένα σατσίγ γεμάτον, τζ' αν αρτσινέψω να τα πω, εν νάρτη το Σάββατον",0
"Αχάριστον ευεργετείς, νεκρόμ μουγιάζεις",0
"Δουλειά της Τζερκατζής, ξάρκημα της Δευτέρας",0
Με τα μιλλοσφοντζίσματα κάμνει πίττες,0
Κλαίε σύ τον άντρα μου κι' εγώ θα πάω στον γάμον,0
Εσ' σ' αγαπά η πεθθερά σου,0
Μια παδκιά του γερόβουδου αξίζει δέκα δαμάλια,0
Νηστεύκει την μίλλαν τζαι τρώει το λατρίν,0
Άλετρο ξυσμένον σπαθ(χ)ίν ακονισμένον,0
"Ο άουρος, αουρόραεν τζι ο συφτατζής επείνασεν",0
Αντάσ σ' επαρακαλούσαν – εχαδεύκεσουχ χαδούσα – τόρα που παρακαλείς – εσ σ' αρωτά ποιογ κανείς,0
Μήτ αρκονκιά εν κληρονομιά μήτε το φίτσιο πάντα,0
Απόν αντρέπεται ο κόσμος ε δικός του,0
Έκαμεν η φτείρα κώλον και έχεσεν τον κόσμον ούλον,0
"Θεωρίαν επισκόπου, και καρκιάν μυλωνά",0
Ο άντρας μου ένι σαντάλιν τζαί μαντάλιν,0
Επήαμεν να βκάλουμεμ μαλλιά τζ' εβκήκαμεν κουρεμένοι,0
Οι Τζυπριώτες μόνοσ στο κατουρκόμ μονοβουλιάζουν,0
"Σεβασμός, αγιασμός",0
Έτσι τζι' έτσι το πουλλίν επέτασεν,0
Ούλλασεν τα η Ζαφειρίτσα,0
"Θέλω να κάμω ρούχα, μα που παράμ Μαρία μου",0
Εγυρίσαμεν το μαουλούτζιν που την αξινόστραφην,0
Ο δκιάβολος έσει πολλά πόδκια,0
Μεσ σούζεις τα πόδκια σου πριχού καβαλλιτζέψεις,0
"Αντάγ γιορκάς μεσ σαίρεσαι, αντ' αστοχάς μεμ πλείσσης",0
Το σλοινίν του χωρκάτη μονόν εν ι-φτάννει τζαί διπλόν περισσεύκει,0
Ο Γενάρης γεννά τζαί πογεννά,0
Ο κλέφτης της κλεψιάς φωρκέται,0
"Να πειναση το περτίτζιν, τζαι να φα τα πίτερα",0
"Ο Θεός παληοτζαιρά, μά δικαιοπκερώνει",0
Άμα θέλεις να σε μισήση κανένας κάμε του καλόν,0
"Ξένος κώλος, σίλλιες ξυλιές αξίζει",0
"Η δούλλα η αναγκαστή, στραβά κουλούτζια κάμνει",0
Τα χουμισμένα λάχανα για αλμυρά για ανάλατα,0
"Πόρτα σφαλωμένη, τζεφαλή φυλαμμένη",0
Αλοί τομ που τοσ΄ η κόκα του να κατεβάζη φτείρες,0
Έρριψεν του μιαν ροτσιάν,0
Τήμ πίτταν τζαι τήρ ρέναν,0
Εν τζ' είμαι ο γάδαρος του Καμπανέλλα,0
"Ο άντρας μου βασιλέας, εγώ βασίλισσα. Αρφός μου βασιλέας εγώ μιστάρσκισσα",0
"Εμέναγ κράζουμ μ' Ευαλλούν, σήμερα δα τζ' αύριον αλλού",0
"Άσπρος γεννιέτ' ο κόρακας κη ύστερις μελανιάζει, 'που τα σημάδια 'που θωρώ του κυρού του 'μοιάζει",0
Εθ θα σου κάμω πουλλαν,0
"Γεωρκήν τολ λέν, τογ καημένον",0
Άπου καπνίζει μαιρεύκει,0
"Δκιούν του σσύλλου λουκάνικον, τζαι λαλεί έζ ζαόν",0
Η αλήθκεια σύντυχχάνει μονησή της,0
Εν το κορτίν της πεθεράς,0
Ο τσαιρός πουλεί τα ξύλα τσ΄η φουρτούνα τ΄αγοράζει,0
Το κκισμέττιν 'εθ θέλει καϊρέττιν,0
"Αρκή βροσής άνεμος, τζαί του θανάτου πρίσμαν",0
Εσήμανεν τογ καλά,0
Εν το πουττίν το κλαμένον,0
"Επάθαμεν σαν έπαθεν η Χατζημαρκουλίνα, έλειψαν την τα κάρβουνα, τζ' έκατσεν τζ΄ εβλαστήμαν",0
Κόψε με αγά μου ν' αγιάσω,0
Κακά εν τα γεράματα,0
Το αγωγιάτικον ξυπνά τον αγωγιάτην,0
Αν άκουεν ο Θεός τογ κατσικόρωνον εν να ψοφούσε κάθε μέρα γαϊδάρους,0
"Τζείνος πόγ κρατεί τηγ γλώσσαν του, μηδέ τογ κώλον του",0
Κόπον έχει το θέρος,0
Ρίχνει μου πετριές,0
Κόσμον ακούω τζαί κόσμον εν αμπλέπω,0
Αρφός τ' αρφού βοήθκεια,0
"Όμοιος τον όμοιον, τζ' η κοπριά τα λάχανα",0
"Πολλές τζαι λλίες να βρεθούν, ναμ μαύρα τα μαλλιά τους τζαι βένετα τα σείλη τους, τζαι περισσ' η ωχρά τους",0
"Ο ντελλάλης ό,τι έσει στον νώμον του ντελλαλίζει",0
"Κατά μάναν τζαι πατέραν, έτσι γυιόν τζαι θυατέραν",0
Όπου πάει το γομάριν ούλλοι πογυρίζουν το,0
Όπκοιος ιδκιάζεται κουτσουφλά,0
Ούλλοι για τημ μάναμ μου,0
Άπό 'ν ινιάσει τογ-Γεννάρην άλλον Γεννάρην να καρτερά,0
Αδειανός εργάτης φορεί τον Μάιον κορώναν,0
"Παρά καττοφαημένος, κάλλιοθ θαλασσοπνιγμένος",0
Χωρίς να πειράξης την κουφήν δακκάννει σε;,0
"Ωσπού να πή ο αλουπός ”πάου, πάου” των βούνναν του εβκάλαν την",0
"Ο μισησμένος τ' αμμαδκιού σου, κληρονόμος του σπιδκιού σου",0
Τ' αμμάτιν εν αχόρταον,0
"Άδικος παράς κερτισιμιός, του κούκου πάει",0
Στηγ κρίσιν του Θεού μου σ' έχω αγκαλεμένον,0
Ανάθρεψε το κοράκι να σου βγάλη τα μάτια,0
"Απού γυρίζει το χωρκόν, βρίσκει τίποτες τζαί τρω",0
"Όπου του δώσεις του κκέλη, πάσ' στηγ κκέλαν του πονεί",0
"Όποιος παρπατεί αλαφρά, κάβκει στράταμ πολλήν",0
Με τα μιλλοσφογγίσματα εν και κάμνεις πίτταις,0
"Τά πισυνά καμώματα έν τής γειτόνισσας, τζαί τά μπροστινά έν τής παπαδκιάς μου",0
"Στσυφτους σαράντα, στεκάμενους μαγκόναν",0
"Αν είσ' εσού καλός, εν τζ' οι αθθρώποι",0
"Ηύρες το σύκοσ, σήκου το, γιατί σηκώνει τ' άλλος",0
"Τρώμεν μούχτιν, τζαι συνέξοδα",0
"Αδ δεσ σ' αρέσκει, πέσε χώρκα σου",0
Ο λαός και το περτίκιν και ο κακός ο νοικοκύρις τογ Γεννάρην χαίρουνται,0
"Αμ μεν εμοιάζαμεν, εν εσυμπεθθερευκάζαμεν",0
Βουνό τζιε βουνό έμπον εισμύη,0
Άνεμος στηγ κόκας σου,0
Τα λόγια ελ λόγια. Τα μακαρούνια έχουφ φαείν,0
Κάλιον κακόν χρόνον παρά κακόν γείτων,0
"Οι πόρτες εγ για ναβ βαδωμένες, τζαι τα παραθύρκα ανοιχτά",0
"Δκυό τζαί δκυό , κάμνουν τέσσερα",0
Αν εύρης σύκοσ σήκωσ' το γιατί σηκώνουν τάλλοι,0
"Μεφ φοάσαι τοσ σκύλλον, που λλάσσει και εδ δακκάννει",0
Ο μακρύς εσάστην τζι ο κοντός επετάχτην,0
"Ηύρες φαϊφ φάε, ηύρες δουλειάφ φύε",0
Έσσω μας τσαι πουζαρόνα,0
"Αν δεν φατσίησης πα στ' ανώβλιον, εν θωρείς το κατώβλιον",0
Αύριον εν Κερκακή φόρησ' τάσπροσ σου βρακί,0
"Ο πεμπάμενος με δέρνεται, με σκοτώνεται",0
"Τα λόγια των πολλών, κάμνουν τον άθρωπον πελλόν",0
Απορριμένον κάτεργον σε καθαρόν λιμάνι,0
"Στογ γάμοσ σου, εν να κουβαλώ νερόμ με το καλάθιν",0
Είντα εν να κόψης φιδέν της αμπούστας;,0
Σεβασμός αγιασμός,0
Έσει ταί μεγαλήτεροχ χτηνόμ που τηγ καμήλαν,0
Του καλότυχου γεννά τζ' ο πετεινός του,0
Πόσα ξέρεις; Τα όσα είδα,0
Το ξύλον εν ι-σπάζει που τημ πρώτημ κουττουτζιάν,0
"Απόσει αίγιες βλέπει τες, τζ΄ απού τες βλέπει τρώει τες",0
"Αρκόντηνεν ο γείτος μας, τζ' αγόρασεβ βρουκάλιν, αμ' αγοράση τζαί σαρκάν, εθ θα μας συνυχάνει",0
"Αφού ερέξαν τα πουλιά, είντα τα στήνεις τα βερκά;",0
Ούλλ' οι γύφτοι μια γενεά,0
Έμ' ποστράντζιν τους αθθρώπους,0
Του πελλού κοκκόν με δείξης τζ'αι του δείξης μεν τον λείψης,0
Να σε κάψω τζαί να σου βάλω μίξαν,0
Ρόϊν του σσιου τζ'αι πορτοκάλλιν του νήλιου,0
"Εν τζ' εν η άξισι του οφτου, αμμάν η παραπόνησί του",0
Την νουράν του σσύλλου εβάλαν την στο καλούπιν σαράντα χρόνια για να ισιώση τζ' εν ίσιωσεν,0
Που γεννιάς γύρεβκε τζι' ένοιαν μεν έστεις,0
Το σιοινίν του χωρκάτη μονόν εν εφτάννεν τζιαί διπλόν εφτάννει,0
"Όποιος ακούει ένα, τζαί κρινίσκει δκυό, άσσημηγ κρίσιν κάμνει",0
Έναν τζ' έναν κάμνουν δκυό,0
Τα πολλά 'ςτα πολλά τρέχουν,0
Άνθρωπος ακάλεστος στογ γάμοσ σαν τογ γάδαρον,0
"Εν εγ Γιάννης, τζ' έχ' Χατζηγιάννης",0
"Παρά στο τζεφάλιμ μου, κάλλιοσ στο μάλιμ μου",0
"Γέρημη καρκιά επείναν, τζαι τα μάδκια εν εκλείαν",0
Τσ'ιρτάριν γέρον τζ'αι σιτάριν νέον,0
Ώσπου έσσιει το τζιελλάριν εν καλόν το γεναικάριν,0
Άννοιξεν το κουτσίν της,0
Νάσεν ο κκέλης γιατρικόν εθελέν το για λόου του,0
Μεβ βάλης τους παράες σου εις τάστρα μεγ κάμης τους αγγέλους κλέφτες,0
Ο ακριβός εν αν τα πάρη μαζί τους,0
Καλός καλός ο σιοίρος μας τζιαι εξέβην χαλαζιάρης,0
Αλλού θωρεις τζ' αλλού φουρνίζεις,0
"Η όρνιθα γεννά τ' αβκόν, τζ' ο πετεινός πονεί τογ κώλον του",0
"Κατά μάναν, κατά κύριν κατά θκειόν καρα(β)οκύριν",0
Που βλαστημά στον κάματον τραουά στο θέρος,0
"Ο δικόσ σου ας σε τζήση, εσ σε μασσά",0
Με τα μιλλοσφοντζίσματα εν να κάμης πίτταν;,0
"Που την οκνιάν του, λαλεί του σσύλλου νταή",0
"Εμ πιστεύκεις εμέναν, τζαι πιστεύκεις του γαδάρου μου;",0
Η ελιά έν τζ' υρά τζι όποτε θέλει κάμνει,0
Φτου τζαι που καναπαρκής,0
"Με του γαδάρου η σέλλα, με του αππάρου το στρατούριν",0
"Απού φυτοφ' φυτόν, τζι απού γεράμπελον αμπέλιν",0
"Η σσύλλα σσυλλούδκια γεννά, εγ γεννά καττούδκια",0
"Η πρώτη εγ γεναίκα μου, η δεύτερη εν τζυρά μου",0
"Απού με κλέψη μιαφ φοράν στραβάρα δική του, απού με κλέψη δκυο στραβάρα δική μου",0
"Εγ τζ' η πεθθερά μουρμούρα, μ'αν' τζ΄η νύμφη τριβητούρα",0
Απού βράσει τζαί στεγνώσει εν έν τίποτε,0
"Ν' αφήσουμεν τα ψέμματα, να πούμεμ μια αλήθκειαν ο κάμηλος γεννά ταβκά, τζ' η όρνιθα τα ρίφκια",0
"Μάχον, όσα μπορείς και όσα θέλει ο Θεός",0
Κάθε πουλλίν με την φωνήν του σσιαίρεται,0
Ηλθεν ο Αύγουστος παρ την κάπα σου,0
"Δίχα ρουφκιάκον, κάστρος εμ πέρνεται",0
Σκότωνε πελλούς τσ' έμπαινε 'ς το κρίμαν τους,0
"Ο Μάρτης το πωρνόν νερά, το δείλις χώματα",0
Τα λλία μυρίζουν λλιασιές,0
Δωσ' μου στο τζεφάλιν να σου δώσω στο πιθάριν,0
Η εξουσία δείχνει τον άθθρωπον,0
"Ο γιατρός, η μαμμού, τζ' ο παπάς εν έχουν αρώτημα",0
"Πρόσωπα που δεθ θωρκούνται, γλήορα πογλησμονιούνται",0
Αν δεν τρώης μεμ μιαν μπουτσ'ιάν κάθου χαμαί τζ'αι πνάζε,0
"Αγκρίστηκεν η καλή μου τζ' αι πα να τημ μερώσω, έναγ καθίζιγ κότσιρους να της παρασ' ονώσω.",0
Αδ δεδ δουλέψης μισταρκός εν τρώεις σαν αφέντης,0
"Η σπάστρα, εμ μισή αρκογκιά",0
"Εζεχτήσαν οι καρέττες, να παν να φέρουν την νύφφην",0
Άκουε μεάλην συτζάν τζι έπερε μιτσίγ καλάθιν,0
Το αγώγι ξυπνά τον αμαξάρην,0
"Με κρύον, με βράστην",0
"Κουφού καμπάναν τζ' αχ χτυπάς, νεκρόν τζ' αθ θυμιάζεις, αχάριστον ευεργετάς, μάταια κοπιάζεις",0
Έν το σελλίν της μαμμούς,0
"Να φοάσαι τοβ βουμ που μπροστά, τημ μούλαν από πίσω, τζαι τογ καλόηρομ που ούλλες τες πάντες",0
"Συγγενής, δικός τζαι φίλος, εν η πούγκα του πλασμάτου, τζαι παρηορκά ως την ώραν του θανάτου",0
"Με τοδ δικός σου φαε πκιέ, τζαι δώσε πάρε μεν έσεις",0
Η γλώσσα του εβ βεριάϊν,0
"Αντάν αστράφτει τζαί βροντά να μέφ φοάσαι, αντάχ χωρίζει μια ψυσή που την άλλην να φοβάσαι",0
Με τομ μαυρόμ μου αναγυκώθηκα τζαι τα κουστούμια του εν τα ξέρω,0
"Άσσημμ  πράμαν, (τζαί) καλήμ πούλησιν",0
Η καμήλα εγ κουτσανίσκει που ταφτίν,0
"Αλοί τοδ δέρνουν εκατόν, τζ' άλλον τοδ δέρν' ο νους του",0
Έσεις παράν εις το πουντζίν; Τζαι ψάριν εις το βουνίν,0
"Παιδκιά μου εμέναν με κρεμμάζουν για την ξεροβολιάν, αμμά Αθ θέλετε την ευτσ'ην μου, που την ξεροβολιάν να μέφ φύετε",0
Αγ γεωρκήσ' η Πάφου πιάσ' τα ρούχα σου τζαι χάθου,0
Γυιόν της πολιτιτζ' ης μεμ παρης τζ' αι κόρην έπαρε,0
Εν είμαι απορριξιμιός,0
Έβαλε τα δκυό μου πόδκια σ' έναμ παπούτσιν,0
Από 'σιει δέντρον έσιει σσιός τζι' από 'σιει σσιός τζιοιμάται,0
"Γυρεύκουν τηγ καμήλασ 'ς το γάμο για ξύλα, για νερόν",0
Τα δεξιά ξινάστραφα,0
Εβγήκα ασπροπρόσωπος,0
"Του ακριβού το ψουμίν, ο λίμπουρος εν το τρώει",0
"Γεναίκα πολλαπάκτη τον άθρωπο ξιβκάλλει σαδ δεν εξέρει γράμματα, μαθθαίνει τότ αι ψάλλει",0
"Ο άντρας κάμνει τηγ γεναίκαν εικόνα,τζ' ο άντρας τηγ κάμνει χώμα",0
"Δός μου στήρ ρίζαν, να σου δώσω στήγ καφίζαν",0
"Ο ρεπέρης επήεν τογ Γεννάρην τζ' είεν τα σπαρμένα του, τζ'αί χωρίστην την γυναίκαν. Επήεν τομ Μάρτην τζ'αί πήρεν άλλην μιάν",0
Γράψε τα στο χάσ' δευτέριν,0
"Δός μου, τζυρά, τον άντρασ σου τζαι πκιάσ εσού τόγ κόπανον",0
Ο γέρος τζ' ας στολίζεται στο έβκα αγρωνίζεται,0
"Άλλαν' ταμμάδκια του λαού, τζ' άλλαν' του κουκκουφκιάου",0
"Εσ σαν τογ κώλον της αίγιας, που τα κάμνει σαν τα πατερημά",0
"Εν τζείνη πόντζισεν ο πετεινός πάσ' στο φουστάνιν της, τζ' έκρουσεν το",0
Ούλλους τους μαύρους Απτουλλάες τους ξεύρεις;,0
Κάθεται σάν τόν έλληνα,0
"Ο ήλιος γεννιέται για ούλλον τον κόσμον, τζαί για ούλλον τον κόσμον λάμπει",0
"Άντα να θέλη ο Θεόν, δίχως τα νέφη βρέσει",0
Ο κάττος τζι ο καλόηρος το ψάριν αγαπούν το,0
"Πουλεί την ημέραν, τζ' αγοράζει την νύχταν",0
"Ο πελλός χτίζει σπίτιν, τζ' ο νούσιμος νοικιάζει",0
Η αλεπού στόν ύπνο της πετειναρούδκια εθώρεν,0
Πάκασε καλόηρε να φας χουμίν τζαι κρομμύδιν,0
"Ο άρκοντας έφαν τζ' έβρασεν, τζ' ο φτωχός έφαν τζ' ερίασεν. Έφαγ' ο πλούσιος κ' εζεστάθη, έφαγε κι ο φτωχός κ' εκρύωσε",0
"Ανάθεμα τηξ ξενηδκιάν, μ' όσα καλά τζ' αν έση",0
Εν έσει ο φτωχός αμμά σει ο Θεός,0
"Το κλάμαν κλάμαν φαίρνει, τζ' η χαρά χαράν",0
"Θεγέ μεδ δώσης του παιδκιού, τα κόβκ' ο νους της μάνας",0
Πάσ' στηγ κόντραν τομ μιμίτιν έβκαλα τζαί σταφυλίτιν,0
"Όσην ώραμ μου παράγγελεν η κυρά η πεθθερά μου, εμέτρουν τες μούγες της νουράς του αππάρου μου",0
Γιατρού μαμμούς τζαι ράφτενας μεμ πής τηγ γνώμησ σου,0
Άνεμος στα πίσω σου τσαί δαυλός στον κώλο σου,0
"Αντάν ψωρκάσ' ο γείτος σου, τζ' εσού βοτάνι γύρευκε",0
"Αλλού ταβκά τζ' οι όρνιθες, τζ΄ αλλού τα κουκουτάσματα",0
Ποιός σ' αρωτά αν εμ μαλλίν το φέσισ σου,0
"Τήν εκκλησία στήν πόρτα σου, τή βρύση στήν αυλή σου",0
Κοφτά τζαί ξηκούτσουλλα,0
"Στου κουφού τημ πόρταν όσοθ θέλεις χτύπα, βρόντα",0
"Η φτώχεια του αρκόντου, εν η αρκογιά μου μένα",0
"Ο γαμπρός για εμ πέρα τζ' εν νάρτη, για μιτσύς εν τζ' εζ να μεαλύνη, για εν να χηρέψη",0
Έκαμεν τα μάτσιες,0
Βουνόμ με βουνόν εν ι – σμήγει,0
Εβάλαν τομ πελλόν να βκάλη τα κάστανα που το λαμπρόν,0
"Ο ποντικός τρύπαν εν είσεν, τζ΄ ετραύαν τήν κολόκαν",0
Η γέννα τζ' η 'στραπή εν άρπα,0
"Του κόσμου τάνα(γ)έλαστον, του κόσμου ανα(γελά του",0
Αντάν έπρεπε δεν έβρεσιε τζιαι τον Μαν εσιόνιζε,0
Εβάλαν τομ πελλόν να βκάλη τα κάστανα που τηφ φωδχιάν,0
"Δοξάζω τον αφέντημ μου τον δεύτερον τον τρίτον, τέσσερα δάχτυλα πουττίν τον άθθρωπον κανεί τον",0
Πιάσ' τον τίτσιρον τζαι πάρ' τα ρούχα του,0
Αντάν ν' αθθίσουν τα ρασιά τότε στρινιά η κορασιά,0
"Να κλαίσιν οι σηράτες, αμμά τζ' οι παντρεμένες;",0
Πάπια χήνα τογ Γεννάριμ παπυρίν τον αλωνάριν,0
Το αδκειασερόμ μουνί εμάθθαινε τσαγγάρης,0
Κύρι' ελιές κουτσ'ιά γλωρά σπανάσ'ιμ με το ρύζιν,0
Εν έχει που τον ήλιομ μοίραν,0
Αναελά ο σεσάρης τογ κλαννιάρην,0
Ήρτεν του σαν το πελάφιν,0
"Ο παράς του Πουτανιού, εμ πιάννει τόπον",0
Άγιος ποθ θαμματουρκά δοξολοϊαν εν έχει,0
Τζιηνούρκον εν το κόσσινον τζιαί που να το κρεμμάσω,0
"Η πουτάνα, αντάν εμ μπορεί να γαμηθή, κάμνει πεζεβεγκλίκκιν",0
Αναγέλασεν η αίγια την κουδέλλαν,0
Ήρταν τα σιλιδόνια να βγάκουν τους στρούθους,0
Ο πελλός φαίνεται που το δειν τζαί τημ παρπατησιάν,0
"Εσείς παιδκιά, ναρκόσπερνε εσείς κτηνα, πυκνόσπερνε",0
"Πόσκασε, καλόηρε, τζαι πάλε φα κρομμύδιν",0
Του φρονίμου το παιδί πριν πεινασει μαγειρεύει,0
"Οπώβρεις γέρομ κρέμμα τον, τζαι ρκάφφαράβτζιζε την, τζ' οπώβρεις τζαι την όμορφην κάτσε κολάτζεβκέ την",0
Εμ μπιντοπαυλής,0
Που τον κούφον ως τον ορώπιν,0
"Είχα το παιδίν, είχα την ζωήν",0
Λοαρκάζει τζ' η αλουπού πως εδει άντρασ στο παζάριν,0
Το γέλιον της Παρασκευής εν' κλάμαν του Σαββάτου,0
"Σαράντα μέρες βοσκός, σαράντα μέρες πέλλος",0
Εκαμένμ μ' ασσίμ μουδούριν,0
Παίζε του γαδάρου λύραν να χορέβκει βίρα – βίρα,0
